ctrial,cFE,cbeta,cm,cn,cchain_size,cname
79,16.0070178229932,0.434294481903252,0,10,6000,WBIC
79,15.8886467544354,0.434294481903252,1,10,6000,naiveBIC(1)
79,15.8115247810055,0.434294481903252,10,10,6000,naiveBIC(10)
80,16.2976301693877,0.434294481903252,-1,10,6000,AFE
80,16.0449359168221,0.434294481903252,0,10,6000,WBIC
80,15.7994604321573,0.434294481903252,1,10,6000,naiveBIC(1)
80,15.8326820558135,0.434294481903252,10,10,6000,naiveBIC(10)
81,16.29763520038,0.434294481903252,-1,10,6000,AFE
81,16.0436930928087,0.434294481903252,0,10,6000,WBIC
81,15.9185864270895,0.434294481903252,1,10,6000,naiveBIC(1)
81,15.8633310614694,0.434294481903252,10,10,6000,naiveBIC(10)
82,16.2976252085915,0.434294481903252,-1,10,6000,AFE
82,15.9868433761107,0.434294481903252,0,10,6000,WBIC
82,15.7487689634024,0.434294481903252,1,10,6000,naiveBIC(1)
82,15.8322631943989,0.434294481903252,10,10,6000,naiveBIC(10)
83,16.2976204140659,0.434294481903252,-1,10,6000,AFE
83,16.061067070282,0.434294481903252,0,10,6000,WBIC
83,15.9231207720542,0.434294481903252,1,10,6000,naiveBIC(1)
83,15.8040358867277,0.434294481903252,10,10,6000,naiveBIC(10)
84,16.297628973324,0.434294481903252,-1,10,6000,AFE
84,16.0194756559703,0.434294481903252,0,10,6000,WBIC
84,15.8670313813961,0.434294481903252,1,10,6000,naiveBIC(1)
84,15.8194501917565,0.434294481903252,10,10,6000,naiveBIC(10)
85,16.2976299896142,0.434294481903252,-1,10,6000,AFE
85,16.0704187506592,0.434294481903252,0,10,6000,WBIC
85,15.8079058862947,0.434294481903252,1,10,6000,naiveBIC(1)
85,15.8262105426869,0.434294481903252,10,10,6000,naiveBIC(10)
86,16.2976320042564,0.434294481903252,-1,10,6000,AFE
86,16.093447761387,0.434294481903252,0,10,6000,WBIC
86,15.7735071924959,0.434294481903252,1,10,6000,naiveBIC(1)
86,15.8225621777809,0.434294481903252,10,10,6000,naiveBIC(10)
87,16.2976228302706,0.434294481903252,-1,10,6000,AFE
87,16.041611220597,0.434294481903252,0,10,6000,WBIC
87,15.8107422960903,0.434294481903252,1,10,6000,naiveBIC(1)
87,15.843476303019,0.434294481903252,10,10,6000,naiveBIC(10)
88,16.297627277118,0.434294481903252,-1,10,6000,AFE
88,15.9692253839266,0.434294481903252,0,10,6000,WBIC
88,15.8419876013866,0.434294481903252,1,10,6000,naiveBIC(1)
88,15.8327809278584,0.434294481903252,10,10,6000,naiveBIC(10)
89,16.2976317665083,0.434294481903252,-1,10,6000,AFE
89,16.0291951630641,0.434294481903252,0,10,6000,WBIC
89,15.8002647136803,0.434294481903252,1,10,6000,naiveBIC(1)
89,15.8514553968446,0.434294481903252,10,10,6000,naiveBIC(10)
90,16.2976356426817,0.434294481903252,-1,10,6000,AFE
90,16.0052768670981,0.434294481903252,0,10,6000,WBIC
90,15.8119444382728,0.434294481903252,1,10,6000,naiveBIC(1)
90,15.8457271323726,0.434294481903252,10,10,6000,naiveBIC(10)
91,16.2976263419608,0.434294481903252,-1,10,6000,AFE
91,15.9846294886726,0.434294481903252,0,10,6000,WBIC
91,15.8910654100636,0.434294481903252,1,10,6000,naiveBIC(1)
91,15.8504412531829,0.434294481903252,10,10,6000,naiveBIC(10)
92,16.2976252050065,0.434294481903252,-1,10,6000,AFE
92,16.0609436516241,0.434294481903252,0,10,6000,WBIC
92,15.9055312322139,0.434294481903252,1,10,6000,naiveBIC(1)
92,15.8375262061758,0.434294481903252,10,10,6000,naiveBIC(10)
93,16.2976274130681,0.434294481903252,-1,10,6000,AFE
93,16.0490582425132,0.434294481903252,0,10,6000,WBIC
93,15.919371778334,0.434294481903252,1,10,6000,naiveBIC(1)
93,15.8126835631258,0.434294481903252,10,10,6000,naiveBIC(10)
94,16.2976340046617,0.434294481903252,-1,10,6000,AFE
94,16.0916554874474,0.434294481903252,0,10,6000,WBIC
94,15.8311648341732,0.434294481903252,1,10,6000,naiveBIC(1)
94,15.8023447254114,0.434294481903252,10,10,6000,naiveBIC(10)
95,16.2976314408386,0.434294481903252,-1,10,6000,AFE
95,16.0166749210699,0.434294481903252,0,10,6000,WBIC
95,15.8849953280622,0.434294481903252,1,10,6000,naiveBIC(1)
95,15.8362047590559,0.434294481903252,10,10,6000,naiveBIC(10)
96,16.2976289401458,0.434294481903252,-1,10,6000,AFE
96,16.0210582561441,0.434294481903252,0,10,6000,WBIC
96,15.851915942006,0.434294481903252,1,10,6000,naiveBIC(1)
96,15.8702253650486,0.434294481903252,10,10,6000,naiveBIC(10)
97,16.2976251500118,0.434294481903252,-1,10,6000,AFE
97,16.0854683345066,0.434294481903252,0,10,6000,WBIC
97,15.9210838318388,0.434294481903252,1,10,6000,naiveBIC(1)
97,15.875302818378,0.434294481903252,10,10,6000,naiveBIC(10)
98,16.2976278329931,0.434294481903252,-1,10,6000,AFE
98,15.9538140184916,0.434294481903252,0,10,6000,WBIC
98,15.8680587827534,0.434294481903252,1,10,6000,naiveBIC(1)
98,15.8304396564145,0.434294481903252,10,10,6000,naiveBIC(10)
99,16.2976301455495,0.434294481903252,-1,10,6000,AFE
99,15.9913708712988,0.434294481903252,0,10,6000,WBIC
99,15.827587254246,0.434294481903252,1,10,6000,naiveBIC(1)
99,15.8539596874128,0.434294481903252,10,10,6000,naiveBIC(10)
100,16.2976334820796,0.434294481903252,-1,10,6000,AFE
100,16.0612639733255,0.434294481903252,0,10,6000,WBIC
100,15.7828109238172,0.434294481903252,1,10,6000,naiveBIC(1)
100,15.8699968626467,0.434294481903252,10,10,6000,naiveBIC(10)
1,16.2976301679867,0.434294481903252,-1,10,10000,AFE
1,16.0491170038598,0.434294481903252,0,10,10000,WBIC
1,15.8240113711453,0.434294481903252,1,10,10000,naiveBIC(1)
1,15.8513945849938,0.434294481903252,10,10,10000,naiveBIC(10)
2,16.2976312746278,0.434294481903252,-1,10,10000,AFE
2,16.0415009337625,0.434294481903252,0,10,10000,WBIC
2,15.8544597851719,0.434294481903252,1,10,10000,naiveBIC(1)
2,15.8320955805295,0.434294481903252,10,10,10000,naiveBIC(10)
3,16.2976267695929,0.434294481903252,-1,10,10000,AFE
3,15.973865103657,0.434294481903252,0,10,10000,WBIC
3,15.7981682484049,0.434294481903252,1,10,10000,naiveBIC(1)
3,15.8473638447601,0.434294481903252,10,10,10000,naiveBIC(10)
4,16.2976292650388,0.434294481903252,-1,10,10000,AFE
4,16.0555621459031,0.434294481903252,0,10,10000,WBIC
4,15.812454499175,0.434294481903252,1,10,10000,naiveBIC(1)
4,15.8396103297079,0.434294481903252,10,10,10000,naiveBIC(10)
5,16.2976297688746,0.434294481903252,-1,10,10000,AFE
5,16.010578543981,0.434294481903252,0,10,10000,WBIC
5,15.846054634601,0.434294481903252,1,10,10000,naiveBIC(1)
5,15.8466310542155,0.434294481903252,10,10,10000,naiveBIC(10)
6,16.297630340261,0.434294481903252,-1,10,10000,AFE
6,16.0274968095054,0.434294481903252,0,10,10000,WBIC
6,15.849113253066,0.434294481903252,1,10,10000,naiveBIC(1)
6,15.8335811517356,0.434294481903252,10,10,10000,naiveBIC(10)
7,16.2976285830814,0.434294481903252,-1,10,10000,AFE
7,16.0212338541397,0.434294481903252,0,10,10000,WBIC
7,15.8295925780658,0.434294481903252,1,10,10000,naiveBIC(1)
