trial,FE,beta,m,n,chain_size,name
19,153.062344347134,0.217147240951626,0,100,2000,AFE
19,152.328691903917,0.217147240951626,0,100,2000,WBIC
20,153.062509819786,0.217147240951626,0,100,2000,AFE
20,152.02305097772,0.217147240951626,0,100,2000,WBIC
1,153.062685625577,0.217147240951626,0,100,4000,AFE
1,152.152018926663,0.217147240951626,0,100,4000,WBIC
2,153.062704745415,0.217147240951626,0,100,4000,AFE
2,152.078728467457,0.217147240951626,0,100,4000,WBIC
3,153.062700885729,0.217147240951626,0,100,4000,AFE
3,152.196962046299,0.217147240951626,0,100,4000,WBIC
4,153.062559338684,0.217147240951626,0,100,4000,AFE
4,152.074706714115,0.217147240951626,0,100,4000,WBIC
5,153.062440363974,0.217147240951626,0,100,4000,AFE
5,152.169370242101,0.217147240951626,0,100,4000,WBIC
6,171.885486020931,0.217147240951626,0,100,4000,AFE
6,152.251656710632,0.217147240951626,0,100,4000,WBIC
7,153.062455828823,0.217147240951626,0,100,4000,AFE
7,152.185443876074,0.217147240951626,0,100,4000,WBIC
8,153.062694885718,0.217147240951626,0,100,4000,AFE
8,152.369358959439,0.217147240951626,0,100,4000,WBIC
9,153.062458412797,0.217147240951626,0,100,4000,AFE
9,152.100507640159,0.217147240951626,0,100,4000,WBIC
10,153.062391398778,0.217147240951626,0,100,4000,AFE
10,152.041700344274,0.217147240951626,0,100,4000,WBIC
11,153.062327991399,0.217147240951626,0,100,4000,AFE
11,152.101712317317,0.217147240951626,0,100,4000,WBIC
12,153.06234261844,0.217147240951626,0,100,4000,AFE
12,152.35536196134,0.217147240951626,0,100,4000,WBIC
13,153.062428850348,0.217147240951626,0,100,4000,AFE
13,152.255673769787,0.217147240951626,0,100,4000,WBIC
14,153.062639190998,0.217147240951626,0,100,4000,AFE
14,152.075619194293,0.217147240951626,0,100,4000,WBIC
15,153.062450728959,0.217147240951626,0,100,4000,AFE
15,152.121498320844,0.217147240951626,0,100,4000,WBIC
16,153.062478242852,0.217147240951626,0,100,4000,AFE
16,152.332942049316,0.217147240951626,0,100,4000,WBIC
17,153.062478362435,0.217147240951626,0,100,4000,AFE
17,152.152045870883,0.217147240951626,0,100,4000,WBIC
18,153.062353981921,0.217147240951626,0,100,4000,AFE
18,152.149994578565,0.217147240951626,0,100,4000,WBIC
19,153.062571639084,0.217147240951626,0,100,4000,AFE
19,152.232720959468,0.217147240951626,0,100,4000,WBIC
20,153.062455375547,0.217147240951626,0,100,4000,AFE
20,152.277432896164,0.217147240951626,0,100,4000,WBIC
1,154.694877815612,0.217147240951626,0,100,6000,AFE
1,152.182611044837,0.217147240951626,0,100,6000,WBIC
2,153.062439292825,0.217147240951626,0,100,6000,AFE
2,152.192653947275,0.217147240951626,0,100,6000,WBIC
3,153.062542234186,0.217147240951626,0,100,6000,AFE
3,152.127456512374,0.217147240951626,0,100,6000,WBIC
