ctrial,cFE,cbeta,cm,cn,cchain_size,cname
90,15.5450091901326,0.434294481903252,0,10,6000,WBIC
90,15.3010149387146,0.434294481903252,1,10,6000,naiveBIC(1)
90,15.2304907942079,0.434294481903252,10,10,6000,naiveBIC(10)
91,16.3055577103363,0.434294481903252,-1,10,6000,AFE
91,15.5787180250332,0.434294481903252,0,10,6000,WBIC
91,15.3056826856558,0.434294481903252,1,10,6000,naiveBIC(1)
91,15.3875837649104,0.434294481903252,10,10,6000,naiveBIC(10)
92,16.3068830139594,0.434294481903252,-1,10,6000,AFE
92,15.555269516185,0.434294481903252,0,10,6000,WBIC
92,15.2839675663532,0.434294481903252,1,10,6000,naiveBIC(1)
92,15.2835565288028,0.434294481903252,10,10,6000,naiveBIC(10)
93,16.3092833205907,0.434294481903252,-1,10,6000,AFE
93,15.5616805711244,0.434294481903252,0,10,6000,WBIC
93,15.3034891751233,0.434294481903252,1,10,6000,naiveBIC(1)
93,15.2724802767385,0.434294481903252,10,10,6000,naiveBIC(10)
94,17.3295354599386,0.434294481903252,-1,10,6000,AFE
94,15.5433237902984,0.434294481903252,0,10,6000,WBIC
94,15.2331815148452,0.434294481903252,1,10,6000,naiveBIC(1)
94,15.3088698651939,0.434294481903252,10,10,6000,naiveBIC(10)
95,16.3073712867476,0.434294481903252,-1,10,6000,AFE
95,15.5408909525835,0.434294481903252,0,10,6000,WBIC
95,15.1797401808716,0.434294481903252,1,10,6000,naiveBIC(1)
95,15.2626986790817,0.434294481903252,10,10,6000,naiveBIC(10)
96,16.3075554143454,0.434294481903252,-1,10,6000,AFE
96,15.517563384634,0.434294481903252,0,10,6000,WBIC
96,15.271321713387,0.434294481903252,1,10,6000,naiveBIC(1)
96,15.2360848371564,0.434294481903252,10,10,6000,naiveBIC(10)
97,16.3053164338055,0.434294481903252,-1,10,6000,AFE
97,15.545950679685,0.434294481903252,0,10,6000,WBIC
97,15.2304834138372,0.434294481903252,1,10,6000,naiveBIC(1)
97,15.2237490317314,0.434294481903252,10,10,6000,naiveBIC(10)
98,16.9116320949341,0.434294481903252,-1,10,6000,AFE
98,15.5163533847421,0.434294481903252,0,10,6000,WBIC
98,15.2380085295339,0.434294481903252,1,10,6000,naiveBIC(1)
98,15.2805333670846,0.434294481903252,10,10,6000,naiveBIC(10)
99,16.3066286049303,0.434294481903252,-1,10,6000,AFE
99,15.5066228299725,0.434294481903252,0,10,6000,WBIC
99,15.2848141299711,0.434294481903252,1,10,6000,naiveBIC(1)
99,15.260480545245,0.434294481903252,10,10,6000,naiveBIC(10)
100,16.3239274619437,0.434294481903252,-1,10,6000,AFE
100,15.5113918920558,0.434294481903252,0,10,6000,WBIC
100,15.2498071829614,0.434294481903252,1,10,6000,naiveBIC(1)
100,15.2526738869227,0.434294481903252,10,10,6000,naiveBIC(10)
